Potencia,Maximo,DesvioPadrao,Curtose,Assimetria
706619.94,3087.0894,389.16827,0.23320775949213868,0.6272079342094184
706293.8,3166.5793,389.12555,0.23040644242404085,0.6262642208614663
707277.3,3120.2021,389.2447,0.2201649873857896,0.6234407950966226
710693.06,3459.806,390.5875,0.2569702811435488,0.6346969588520899
706317.6,3500.0417,389.00815,0.24770548203996468,0.6297752669505353
707229.4,3440.5227,389.54727,0.24361200270127492,0.6277612220137884
706853.1,3413.6516,389.3607,0.26365451562663234,0.6357747635714096
707886.8,3574.213,389.20523,0.22230828252538526,0.6233438253372466
707043.25,3374.1958,389.3528,0.2473768530242837,0.6296262712072428
709123.25,3323.5764,390.14258,0.24528443819315537,0.6304123508374746
705290.06,3149.9236,389.16837,0.23291156815788883,0.6275171180024072
707805.3,3085.8875,389.91754,0.250285565458114,0.6339774016992323
707851.56,3308.0872,389.78748,0.24787133942813044,0.6303579915783402
707573.06,3233.5664,389.5786,0.25319004494165576,0.6327804429500498
707004.1,3553.5251,389.1054,0.2384545749349285,0.6270131771058718
706987.8,3194.6987,389.71716,0.2452356476760542,0.630017322578823
707752.9,4060.1497,389.69635,0.23829327328823524,0.6265469443557692
706787.8,3336.997,389.03763,0.25900469838257667,0.6328088512518958
705581.44,3352.1648,388.8344,0.22344417395098493,0.6251653121072793
708886.5,3190.6265,389.59918,0.23399228196296962,0.6279836275115291
709525.06,3427.5078,389.93994,0.23699008969220836,0.6271515852246571
708531.56,3161.4722,389.98178,0.2391230219892253,0.627594235420321
708021.5,3094.205,389.48242,0.24090192963214063,0.6275928834085814
709328.4,3233.6252,390.6337,0.2651604770013902,0.6358124599777211
707093.2,3099.4712,389.8706,0.24358597945262384,0.6313363627570787
709080.0,3263.1067,389.7307,0.24382878142517894,0.6318772699960196
707292.06,3126.8484,389.82596,0.2497562051428326,0.6338272017451523
706703.44,3288.3674,389.04654,0.23571585935837946,0.6281209013240694
706374.6,3329.817,388.94257,0.24552979750563875,0.6310325830935112
708185.6,3335.5708,389.62103,0.2523753227509631,0.6300130245455301
706403.94,3435.1538,389.7476,0.24151731812452937,0.631598535630427
707824.0,3688.6833,389.5393,0.2544738347351143,0.632379388518764
707810.4,2996.769,389.74298,0.23739429220752628,0.6305538579612125
709426.7,3372.703,390.35068,0.24126101169455794,0.6304776906321451
707485.2,3263.0442,389.3392,0.21482071538470615,0.6235727858691021
708177.25,3467.8484,389.46695,0.2226071712375477,0.6241713855749783
707888.44,3081.665,389.27792,0.22559831065366076,0.6258199495869207
708834.1,3698.1252,389.38736,0.23506034541845766,0.6259204647555702
708004.7,3170.344,389.93005,0.2394644417209304,0.6314185793926046
707569.6,3361.586,390.01578,0.24265166132177596,0.6321946106220928
