Potencia,Maximo,DesvioPadrao,FFT_Peak,FFT_Mean,Classe
1.0000002,3.5662408,0.46383843,181.84845,38.196945,0
0.99999976,3.923423,0.46373868,186.00327,37.368748,0
0.9999999,3.7076466,0.46288523,202.82169,38.165333,0
0.9999999,4.596817,0.46376714,154.19325,37.231037,0
1.0000001,3.715928,0.46353388,183.70139,38.259716,0
1.0000004,3.689782,0.46323448,183.99591,38.87735,0
0.9999999,5.059106,0.4634633,164.75142,38.324608,0
1.0000005,4.6975923,0.46387666,144.91573,38.682865,0
1.0,3.6625652,0.46311176,182.50124,37.66115,0
1.0000004,3.9544513,0.46331197,185.60916,38.094803,0
1.0000001,3.988191,0.46372804,212.85162,38.290882,0
1.0000002,5.02796,0.4635505,150.75568,38.07336,0
0.99999994,3.6865425,0.46375284,156.97745,38.16067,0
1.0000002,4.273378,0.46306226,174.7644,38.18455,0
0.99999994,3.7294512,0.4632922,215.5524,38.55042,0
1.0000004,3.6750183,0.46350405,210.67004,38.95141,0
0.99999964,3.8118784,0.46334124,184.56017,38.55562,0
1.0000001,4.780519,0.46362415,177.48172,38.437695,0
1.0000004,5.273632,0.46316797,165.04762,38.61874,0
0.9999999,4.130903,0.46327284,175.51965,37.878014,0
1.0000002,5.3961453,0.46331874,166.79706,37.95632,0
1.0000002,3.7729726,0.46379775,157.67944,37.80043,0
